split_seed,clause_category,model,threshold,missing_precision,missing_recall,missing_f1,missing_auroc,balanced_accuracy,n_test,n_missing_test,n_present_test,val_missing_f1_at_selected_threshold
43,Document Name,TextPlusLayout,0.48999999999999994,0.48148148148148145,0.6842105263157895,0.5652173913043478,0.8556253017865765,0.7778850796716562,128,19,109,0.5454545454545454
43,Effective Date,FrequencyPrior,0.05,0.5390625,1.0,0.700507614213198,0.5,0.5,128,69,59,
43,Effective Date,TextOnly,0.35999999999999993,0.5333333333333333,0.927536231884058,0.6772486772486772,0.6629820682878899,0.4891918447555883,128,69,59,0.743801652892562
43,Effective Date,TextPlusLayout,0.13,0.5666666666666667,0.9855072463768116,0.7195767195767195,0.7710636207320068,0.5520756570867109,128,69,59,0.7692307692307693
43,Exclusivity,FrequencyPrior,0.05,0.6640625,1.0,0.7981220657276995,0.5,0.5,128,85,43,
43,Exclusivity,TextOnly,0.42999999999999994,0.7835051546391752,0.8941176470588236,0.8351648351648352,0.8407660738714091,0.7028727770177838,128,85,43,0.9009009009009009
43,Exclusivity,TextPlusLayout,0.35999999999999993,0.7395833333333334,0.8352941176470589,0.7845303867403315,0.8027359781121751,0.6269493844049248,128,85,43,0.8490566037735849
43,Expiration Date,FrequencyPrior,0.05,0.21875,1.0,0.358974358974359,0.5,0.5,128,28,100,
43,Expiration Date,TextOnly,0.4499999999999999,0.5666666666666667,0.6071428571428571,0.5862068965517241,0.7982142857142858,0.7385714285714285,128,28,100,0.5806451612903226
43,Expiration Date,TextPlusLayout,0.5099999999999999,0.5625,0.6428571428571429,0.6,0.8260714285714286,0.7514285714285714,128,28,100,0.5806451612903226
43,Governing Law,FrequencyPrior,0.05,0.15625,1.0,0.2702702702702703,0.5,0.5,128,20,108,
43,Governing Law,TextOnly,0.4099999999999999,0.5769230769230769,0.75,0.6521739130434783,0.8564814814814815,0.8240740740740741,128,20,108,0.45454545454545453
43,Governing Law,TextPlusLayout,0.5299999999999999,0.6521739130434783,0.75,0.6976744186046512,0.9208333333333334,0.837962962962963,128,20,108,0.6666666666666666
43,Insurance,FrequencyPrior,0.05,0.6875,1.0,0.8148148148148148,0.5,0.5,128,88,40,
43,Insurance,TextOnly,0.4099999999999999,0.7757009345794392,0.9431818181818182,0.8512820512820513,0.790340909090909,0.6715909090909091,128,88,40,0.8695652173913043
43,Insurance,TextPlusLayout,0.43999999999999995,0.8522727272727273,0.8522727272727273,0.8522727272727273,0.8397727272727273,0.7636363636363637,128,88,40,0.8823529411764706
43,Ip Ownership Assignment,FrequencyPrior,0.05,0.8125,1.0,0.896551724137931,0.5,0.5,128,104,24,
43,Ip Ownership Assignment,TextOnly,0.4499999999999999,0.8703703703703703,0.9038461538461539,0.8867924528301887,0.6786858974358975,0.6602564102564102,128,104,24,0.8909090909090909
43,Ip Ownership Assignment,TextPlusLayout,0.31999999999999995,0.8703703703703703,0.9038461538461539,0.8867924528301887,0.8253205128205129,0.6602564102564102,128,104,24,0.8648648648648649
43,Irrevocable Or Perpetual License,FrequencyPrior,0.05,0.875,1.0,0.9333333333333333,0.5,0.5,128,112,16,
43,Irrevocable Or Perpetual License,TextOnly,0.38999999999999996,0.9016393442622951,0.9821428571428571,0.9401709401709402,0.7271205357142857,0.6160714285714286,128,112,16,0.926829268292683
43,Irrevocable Or Perpetual License,TextPlusLayout,0.09,0.9166666666666666,0.9821428571428571,0.9482758620689655,0.8984375,0.6785714285714286,128,112,16,0.9312977099236641
43,Joint Ip Ownership,FrequencyPrior,0.05,0.9375,1.0,0.967741935483871,0.5,0.5,128,120,8,
43,Joint Ip Ownership,TextOnly,0.14999999999999997,0.9375,1.0,0.967741935483871,0.7697916666666667,0.5,128,120,8,0.9295774647887324
43,Joint Ip Ownership,TextPlusLayout,0.10999999999999999,0.937007874015748,0.9916666666666667,0.9635627530364372,0.85625,0.49583333333333335,128,120,8,0.935251798561151
43,License Grant,FrequencyPrior,0.05,0.5,1.0,0.6666666666666666,0.5,0.5,128,64,64,
